"name","industry","size","remotePolicy","priority","status","notes"
"Johnson & Johnson MedTech (Ethicon)","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Norderstedt DE / Diegem BE | English: Yes | Why fit: Surgical platforms (Monarch, OttavaTM, energy devices). Hamburg-area presence via Norderstedt. | Likely roles: TPM Surgical; PM Digital Surgery; PM Energy Devices | Apply: jobs.jnj.com"
"Ambu A/S","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Ballerup, DK | English: Yes | Why fit: Single-use endoscopy — fast-growing, well-funded. Scandinavian English-default. Strong fit for endoscopy systems experience. | Likely roles: PM Endoscopy; PM Digital Solutions | Apply: ambu.com/careers"
"Intuitive Surgical","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Aubonne, CH | English: Yes | Why fit: da Vinci surgical robotics. The single most prestigious surgical platform. EU hiring exists; high bar. | Likely roles: TPM Surgical Robotics; PM Surgical Applications | Apply: intuitive.com/careers"
"Hologic","MedTech Systems","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV1 MedTech Systems | HQ/EU office: Wiesbaden DE / Zaventem BE | English: Yes | Why fit: Women's health imaging, surgical. English working language in EU product orgs. | Likely roles: TPM Imaging Systems; PM Surgical | Apply: hologic.com/careers"
"Varian (Siemens Healthineers)","MedTech Systems","","Hybrid / location-dependent","C","Research","Tier: B | Path: CV1 MedTech Systems | HQ/EU office: Darmstadt DE / Palo Alto US | English: Yes | Why fit: Radiation oncology + treatment planning software. Now Siemens-owned, EU-friendly. | Likely roles: TPM Clinical Software; PM Oncology Workflow | Apply: siemens-healthineers.com/careers (Varian roles)"
"Edwards Lifesciences","MedTech Systems","","Hybrid / location-dependent","C","Research","Tier: B | Path: CV1 MedTech Systems | HQ/EU office: Nyon, CH | English: Yes | Why fit: Structural heart, critical care monitoring. EU product orgs in Switzerland use English. | Likely roles: PM Critical Care; TPM Surgical Heart Valves | Apply: edwards.com/careers"
"Cochlear Ltd","MedTech Systems","","Hybrid / location-dependent","C","Research","Tier: B | Path: CV1 MedTech Systems | HQ/EU office: Hannover DE / Sydney AU | English: Yes | Why fit: Implantable hearing devices. Hannover regional HQ; English-first. | Likely roles: PM Implantable Devices; TPM Connected Care | Apply: cochlear.com/careers"
"Caresyntax","Digital Health / Clinical Data","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV2 Digital Health & Data | HQ/EU office: Berlin DE / SF US | English: Yes | Why fit: Direct Proximie analog. Surgical intelligence platform, OR data, multi-modal analytics. 33+ nationalities, currently hiring Senior PM. Highest single-target fit on this list. | Likely roles: Senior PM Platform; PM Data Products; PM Surgical Intelligence | Apply: caresyntax.com/about/careers + LinkedIn | Special notes: TOP PRIORITY. Mirror your article framing in cover letter."
"Proximie","Digital Health / Clinical Data","","Remote-friendly","A","Target","Tier: S | Path: CV2 Digital Health & Data | HQ/EU office: London UK / Remote | English: Yes | Why fit: The role that triggered this whole exercise. Watch for reopened postings. Use Lee Abrahams (Talent Sr. Manager) as warm contact path. | Likely roles: Senior PM Data; PM Intelligence Suite; PM Surgical Suite | Apply: careers.proximie.com + LinkedIn (Lee Abrahams) | Special notes: Monitor for reopening. Cold outreach to Director of Product with article."
"Theator","Digital Health / Clinical Data","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV2 Digital Health & Data | HQ/EU office: Tel Aviv IL / NY US | English: Yes | Why fit: Surgical Intelligence Platform. AI on surgical video. Direct domain fit. Remote PM roles do appear. | Likely roles: PM Surgical AI; Senior PM Platform; PM Clinical Data | Apply: theator.io/careers"
"Activ Surgical","Digital Health / Clinical Data","","Remote-friendly","A","Target","Tier: S | Path: CV2 Digital Health & Data | HQ/EU office: Boston US / EU remote-friendly | English: Yes | Why fit: Surgical AR/AI overlay platform (ActivSight). Clinical surgical data company. | Likely roles: PM Surgical Software; Senior PM | Apply: activsurgical.com/careers"
"Touch Surgery (Medtronic)","Digital Health / Clinical Data","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV2 Digital Health & Data | HQ/EU office: London UK | English: Yes | Why fit: Acquired by Medtronic. Surgical video AI + training. Sits inside the Medtronic Digital Surgery org. London-based, EU-friendly. | Likely roles: PM Digital Surgery; PM AI / Surgical Video | Apply: medtronic.com/careers (Digital Surgery / Touch Surgery roles)"
"Doctolib","Digital Health / Clinical Data","","Hybrid / location-dependent","A","Target","Tier: S | Path: CV2 Digital Health & Data | HQ/EU office: Berlin DE / Paris FR | English: Yes | Why fit: Europe's largest digital health platform. Big Berlin product org. Hires PMs at all levels in English. | Likely roles: Senior PM; PM Practitioner Solutions; PM Hospital | Apply: careers.doctolib.com"
"Mediaire GmbH","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Berlin DE | English: Yes | Why fit: Clinical AI for MRI (brain). Berlin-based, English-speaking startup. Fast-growing. | Likely roles: PM Clinical AI; Senior PM | Apply: mediaire.de/careers"
"Aidoc","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Tel Aviv IL / Berlin presence | English: Yes | Why fit: Clinical AI / radiology workflow. Hospital-deployed AI at scale. | Likely roles: PM Clinical AI; PM Hospital Workflow | Apply: aidoc.com/careers"
"Apheris","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Berlin DE | English: Yes | Why fit: Federated data platform for healthcare/life sciences — exactly the data-product space. Berlin-based, English-first. | Likely roles: PM Data Products; PM Pharma; Senior PM | Apply: apheris.com/careers"
"Veeva Systems","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Frankfurt/Munich DE / Pleasanton US | English: Yes | Why fit: Life sciences SaaS (clinical, regulatory, commercial). Strong PM org in EU. English-first by default. | Likely roles: PM Vault Clinical; PM Vault MedTech; Senior PM | Apply: veeva.com/careers"
"IQVIA","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Frankfurt DE / multiple EU | English: Yes | Why fit: Real-world evidence and clinical analytics at scale. Massive PM org. Use your CEO + commercial framing. | Likely roles: PM Real-World Solutions; PM Clinical Analytics | Apply: jobs.iqvia.com"
"Flatiron Health (Roche)","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: NY US / Berlin presence | English: Yes | Why fit: Oncology RWE platform. The gold standard for data-as-product in healthcare. Roche-owned, EU-friendly hiring. | Likely roles: PM Real-World Evidence; PM Clinical Data | Apply: flatiron.com/careers"
"Tempus AI","Digital Health / Clinical Data","","Remote-friendly","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Chicago US / EU remote | English: Yes | Why fit: Multi-modal cancer data + AI. Public, growing EU presence. | Likely roles: PM Data Products; PM AI Applications | Apply: tempus.com/careers"
"TriNetX","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Cambridge MA / London / Berlin | English: Yes | Why fit: Global research network on real-world clinical data. Direct OR-data-adjacent. | Likely roles: PM Real-World Data; PM Research Networks | Apply: trinetx.com/careers"
"Datavant","Digital Health / Clinical Data","","Remote-friendly","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: NY US / EU remote | English: Yes | Why fit: The data linkage / tokenisation infrastructure layer. Reference is in your article. Strong analyst-to-operator hires. | Likely roles: PM Data Platform; PM Connectivity | Apply: datavant.com/careers"
"Ada Health","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Berlin DE | English: Yes | Why fit: AI-powered symptom assessment, digital health at scale. Berlin product org, English-first. | Likely roles: PM Clinical AI; Senior PM Patient Experience | Apply: ada.com/careers"
"Kaia Health","Digital Health / Clinical Data","","Hybrid / location-dependent","B","Target","Tier: A | Path: CV2 Digital Health & Data | HQ/EU office: Munich DE / NY US | English: Yes | Why fit: Digital therapeutics (musculoskeletal, COPD). Munich product org in English. | Likely roles: PM Digital Therapeutics; Senior PM | Apply: kaiahealth.com/careers"
"Avi Medical","Digital Health / Clinical Data","","Hybrid / location-dependent","C","Research","Tier: B | Path: CV2 Digital Health & Data | HQ/EU office: Munich DE | English: Mixed | Why fit: Tech-first primary care chain. English in product, German in clinical-facing. Operational data product angle. | Likely roles: PM Clinical Operations; PM Data | Apply: avimedical.com/careers"
"HelloBetter","Digital Health / Clinical Data","","Hybrid / location-dependent","C","Research","Tier: B | Path: CV2 Digital Health & Data | HQ/EU office: Hamburg DE / Berlin DE | English: Mixed | Why fit: Digital therapeutics, Hamburg presence. Smaller team but local-geographic fit. | Likely roles: PM Digital Therapeutics; Senior PM | Apply: hellobetter.de/careers"
"Definitive Healthcare","Digital Health / Clinical Data","","Hybrid / location-dependent","C","Research","Tier: B | Path: CV2 Digital Health & Data | HQ/EU office: Boston US / London UK | English: Yes | Why fit: Healthcare commercial intelligence + data products for life sciences. Data-as-a-product business model — direct mirror of your article thesis. | Likely roles: PM Data Products; Senior PM Analytics | Apply: definitivehc.com/careers"
